locus_tag	ftype	length_bp	gene	EC_number	COG	product
MLDGMJPK_00342	CDS	750	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
MLDGMJPK_00343	CDS	1734				hypothetical protein
MLDGMJPK_00344	CDS	1074	trmA	2.1.1.-	COG2265	tRNA/tmRNA (uracil-C(5))-methyltransferase
MLDGMJPK_00345	CDS	417				hypothetical protein
MLDGMJPK_00346	CDS	414	yccU		COG1832	putative protein YccU
MLDGMJPK_00347	CDS	1212	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
MLDGMJPK_00348	CDS	723	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
MLDGMJPK_00349	CDS	1026				hypothetical protein
MLDGMJPK_00350	CDS	777				hypothetical protein
MLDGMJPK_00351	CDS	669	uppS	2.5.1.-	COG0020	Isoprenyl transferase
MLDGMJPK_00352	CDS	618				hypothetical protein
MLDGMJPK_00353	CDS	1155	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
MLDGMJPK_00354	CDS	1290	glmU		COG1207	Bifunctional protein GlmU
MLDGMJPK_00355	CDS	735	fliP		COG1338	Flagellar biosynthetic protein FliP
MLDGMJPK_00356	CDS	228				hypothetical protein
MLDGMJPK_00357	CDS	771	fliY		COG0834	L-cystine-binding protein FliY
MLDGMJPK_00358	CDS	525				hypothetical protein
MLDGMJPK_00359	CDS	756				hypothetical protein
MLDGMJPK_00360	CDS	720	kdsB_2	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
MLDGMJPK_00361	CDS	1413	thrC	4.2.3.1	COG0498	Threonine synthase
MLDGMJPK_00362	CDS	927	lpxK	2.7.1.130		Tetraacyldisaccharide 4'-kinase
MLDGMJPK_00363	CDS	741	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
MLDGMJPK_00364	CDS	597		3.-.-.-		putative protein
MLDGMJPK_00365	CDS	306				hypothetical protein
MLDGMJPK_00366	CDS	780	fabL	1.3.1.104		Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL
MLDGMJPK_00367	CDS	897	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
MLDGMJPK_00368	CDS	1251		3.4.24.-	COG0612	putative zinc protease
MLDGMJPK_00369	CDS	1059	pyrD	1.3.5.2		Dihydroorotate dehydrogenase (quinone)
MLDGMJPK_00370	CDS	1743	msbA	7.5.2.6		Lipid A export ATP-binding/permease protein MsbA
MLDGMJPK_00371	CDS	1389	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
MLDGMJPK_00372	CDS	1452	murJ		COG0728	putative lipid II flippase MurJ
MLDGMJPK_00373	CDS	1860				hypothetical protein
MLDGMJPK_00374	CDS	552	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
MLDGMJPK_00375	CDS	1041	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
MLDGMJPK_00376	CDS	216				hypothetical protein
MLDGMJPK_00377	CDS	720				hypothetical protein
MLDGMJPK_00378	CDS	1428	murF	6.3.2.10		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
MLDGMJPK_00379	CDS	678				hypothetical protein
MLDGMJPK_00380	CDS	2367				hypothetical protein
MLDGMJPK_00381	CDS	1389	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
MLDGMJPK_00382	CDS	1488	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
MLDGMJPK_00383	CDS	1791	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
MLDGMJPK_00384	CDS	297	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
MLDGMJPK_00385	CDS	519	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
MLDGMJPK_00386	CDS	642	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
MLDGMJPK_00387	CDS	999	nqo8	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit 8
MLDGMJPK_00388	CDS	2463				hypothetical protein
MLDGMJPK_00389	CDS	693				hypothetical protein
MLDGMJPK_00390	CDS	228				hypothetical protein
MLDGMJPK_00391	CDS	1227	nuoD	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit D
MLDGMJPK_00392	CDS	795	ndhJ	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
MLDGMJPK_00393	CDS	504	nqo6	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit 6
MLDGMJPK_00394	CDS	390	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic
MLDGMJPK_00395	CDS	666	nikE	7.2.2.11		Nickel import ATP-binding protein NikE
MLDGMJPK_00396	CDS	711	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
MLDGMJPK_00397	CDS	789	dppC		COG1173	Dipeptide transport system permease protein DppC
MLDGMJPK_00398	CDS	945	cntB		COG0601	Metal-staphylopine import system permease protein CntB
MLDGMJPK_00399	CDS	1536	appA			Oligopeptide-binding protein AppA
MLDGMJPK_00400	CDS	2772				hypothetical protein
MLDGMJPK_00401	CDS	423	vhb			Bacterial hemoglobin
MLDGMJPK_00402	CDS	1632	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
MLDGMJPK_00403	CDS	1296	proP_2			Proline/betaine transporter
MLDGMJPK_00404	CDS	798				hypothetical protein
MLDGMJPK_00405	CDS	219	infA		COG0361	Translation initiation factor IF-1
MLDGMJPK_00406	CDS	366	rpsM			30S ribosomal protein S13
MLDGMJPK_00407	CDS	393	rpsK			30S ribosomal protein S11
MLDGMJPK_00408	CDS	627	rpsD		COG0522	30S ribosomal protein S4
MLDGMJPK_00409	CDS	1014	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
MLDGMJPK_00410	CDS	354	rplQ		COG0203	50S ribosomal protein L17
MLDGMJPK_00411	CDS	900	hisG	2.4.2.17		ATP phosphoribosyltransferase
MLDGMJPK_00412	CDS	1287	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
MLDGMJPK_00413	CDS	1059	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
MLDGMJPK_00414	CDS	588	hisH_1	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
MLDGMJPK_00415	CDS	732	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
MLDGMJPK_00416	CDS	957				hypothetical protein
MLDGMJPK_00417	CDS	768	hisF_1	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
MLDGMJPK_00418	CDS	624	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
MLDGMJPK_00419	CDS	1161	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
MLDGMJPK_00420	CDS	1107	apbC		COG0489	Iron-sulfur cluster carrier protein
MLDGMJPK_00421	CDS	1116	ispDF		COG0245	Bifunctional enzyme IspD/IspF
MLDGMJPK_00422	CDS	888				hypothetical protein
MLDGMJPK_00423	CDS	1161	sat	2.7.7.4	COG2046	Sulfate adenylyltransferase
MLDGMJPK_00424	CDS	501	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
MLDGMJPK_00425	CDS	264				hypothetical protein
MLDGMJPK_00426	CDS	1068	prfA		COG0216	Peptide chain release factor RF1
MLDGMJPK_00427	CDS	756	hugZ	1.14.99.-	COG0748	Heme oxygenase HugZ
MLDGMJPK_00428	CDS	2121	btuB_1			Vitamin B12 transporter BtuB
MLDGMJPK_00429	CDS	987	hmuU		COG0609	Hemin transport system permease protein HmuU
MLDGMJPK_00430	CDS	777	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
MLDGMJPK_00431	CDS	807	btuF			Vitamin B12-binding protein
MLDGMJPK_00432	CDS	858				hypothetical protein
MLDGMJPK_00433	CDS	1008	kgtP_1			Alpha-ketoglutarate permease
MLDGMJPK_00434	CDS	1020	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
MLDGMJPK_00435	CDS	753				hypothetical protein
MLDGMJPK_00436	tRNA	75				tRNA-Gly(gcc)
MLDGMJPK_00437	tRNA	89				tRNA-Leu(taa)
MLDGMJPK_00438	tRNA	74				tRNA-Cys(gca)
MLDGMJPK_00439	tRNA	88				tRNA-Ser(tga)
MLDGMJPK_00440	CDS	981				hypothetical protein
MLDGMJPK_00441	CDS	522				hypothetical protein
MLDGMJPK_00442	CDS	1365	tdcG	4.3.1.17	COG1760	L-serine dehydratase TdcG
MLDGMJPK_00443	CDS	1251	sdaC		COG0814	Serine transporter
MLDGMJPK_00444	CDS	417				hypothetical protein
MLDGMJPK_00445	CDS	744				hypothetical protein
MLDGMJPK_00446	CDS	426	tolQ_1			Tol-Pal system protein TolQ
MLDGMJPK_00447	CDS	390	tolR			Tol-Pal system protein TolR
MLDGMJPK_00448	CDS	684				hypothetical protein
MLDGMJPK_00449	CDS	870				hypothetical protein
MLDGMJPK_00450	CDS	162				hypothetical protein
MLDGMJPK_00451	CDS	984	mnmA_1	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
MLDGMJPK_00452	CDS	1089	aroC	4.2.3.5	COG0082	Chorismate synthase
MLDGMJPK_00453	CDS	675	rnc	3.1.26.3	COG0571	Ribonuclease 3
MLDGMJPK_00454	CDS	441	rnhA	3.1.26.4	COG0328	Ribonuclease HI
MLDGMJPK_00455	CDS	987	lapB			Lipopolysaccharide assembly protein B
MLDGMJPK_00456	CDS	1818	dnaG	2.7.7.-		DNA primase
MLDGMJPK_00457	CDS	273				hypothetical protein
MLDGMJPK_00458	CDS	552				hypothetical protein
MLDGMJPK_00459	CDS	1284	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
MLDGMJPK_00460	CDS	312			COG0718	Nucleoid-associated protein
MLDGMJPK_00461	CDS	1095				hypothetical protein
MLDGMJPK_00462	CDS	846				hypothetical protein
MLDGMJPK_00463	CDS	1899	tktA	2.2.1.1	COG0021	Transketolase 1
MLDGMJPK_00464	CDS	1110				hypothetical protein
MLDGMJPK_00465	CDS	723	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
MLDGMJPK_00466	CDS	891				hypothetical protein
MLDGMJPK_00467	CDS	600				hypothetical protein
MLDGMJPK_00468	CDS	501				hypothetical protein
MLDGMJPK_00469	CDS	759	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
MLDGMJPK_00470	CDS	753	murI	5.1.1.3	COG0796	Glutamate racemase
MLDGMJPK_00471	CDS	459	mepS	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
MLDGMJPK_00472	CDS	1170	nhaA_1		COG3004	Na(+)/H(+) antiporter NhaA
MLDGMJPK_00473	CDS	1149	nhaA_2		COG3004	Na(+)/H(+) antiporter NhaA
MLDGMJPK_00474	CDS	183				hypothetical protein
MLDGMJPK_00475	CDS	2091				hypothetical protein
MLDGMJPK_00476	CDS	540	tpd		COG3470	34 kDa membrane antigen
MLDGMJPK_00477	CDS	1404				hypothetical protein
MLDGMJPK_00478	CDS	1290				hypothetical protein
MLDGMJPK_00479	CDS	1119				hypothetical protein
MLDGMJPK_00480	CDS	651	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
MLDGMJPK_00481	CDS	489	resA_1			Thiol-disulfide oxidoreductase ResA
MLDGMJPK_00482	CDS	513				hypothetical protein
MLDGMJPK_00483	CDS	438				hypothetical protein
MLDGMJPK_00484	CDS	417				hypothetical protein
MLDGMJPK_00485	CDS	1131	xerC			Tyrosine recombinase XerC
MLDGMJPK_00486	CDS	273				hypothetical protein
MLDGMJPK_00487	CDS	924				hypothetical protein
MLDGMJPK_00488	CDS	693				hypothetical protein
MLDGMJPK_00489	CDS	354				hypothetical protein
MLDGMJPK_00490	CDS	195				hypothetical protein
MLDGMJPK_00491	CDS	282				hypothetical protein
MLDGMJPK_00492	CDS	234				hypothetical protein
MLDGMJPK_00493	CDS	360				hypothetical protein
MLDGMJPK_00494	CDS	228				hypothetical protein
MLDGMJPK_00495	CDS	246				hypothetical protein
MLDGMJPK_00496	CDS	186				hypothetical protein
MLDGMJPK_00497	CDS	1275	kgtP_2			Alpha-ketoglutarate permease
MLDGMJPK_00498	CDS	819				hypothetical protein
MLDGMJPK_00499	CDS	234				hypothetical protein
MLDGMJPK_00500	CDS	393				hypothetical protein
MLDGMJPK_00501	CDS	171				hypothetical protein
MLDGMJPK_00502	CDS	192				hypothetical protein
MLDGMJPK_00503	CDS	1458	dinB	2.7.7.7		DNA polymerase IV
MLDGMJPK_00504	CDS	651				hypothetical protein
MLDGMJPK_00505	CDS	114				hypothetical protein
MLDGMJPK_00506	CDS	414				hypothetical protein
MLDGMJPK_00507	CDS	315				hypothetical protein
MLDGMJPK_00508	CDS	144				hypothetical protein
MLDGMJPK_00509	CDS	603				hypothetical protein
MLDGMJPK_00510	CDS	1143				hypothetical protein
MLDGMJPK_00511	CDS	4776				hypothetical protein
MLDGMJPK_00512	CDS	1182				hypothetical protein
MLDGMJPK_00513	CDS	1746				hypothetical protein
MLDGMJPK_00514	CDS	2241				hypothetical protein
MLDGMJPK_00515	CDS	1170	pknD	2.7.11.1		Serine/threonine-protein kinase PknD
MLDGMJPK_00516	tRNA	85				tRNA-Leu(tag)
MLDGMJPK_00517	tRNA	77				tRNA-Arg(tct)
MLDGMJPK_00518	tRNA	77				tRNA-Arg(tcg)
MLDGMJPK_00519	tRNA	77				tRNA-His(gtg)
MLDGMJPK_00520	tRNA	78				tRNA-Pro(tgg)
MLDGMJPK_00521	CDS	849	ligA_1	6.5.1.1		DNA ligase
MLDGMJPK_00522	CDS	663				hypothetical protein
MLDGMJPK_00523	CDS	204				hypothetical protein
MLDGMJPK_00524	CDS	1245	eno	4.2.1.11	COG0148	Enolase
MLDGMJPK_00525	CDS	1032	recA		COG0468	Protein RecA
MLDGMJPK_00526	CDS	861	mqnD	4.1.-.-	COG2107	1,4-dihydroxy-6-naphtoate synthase
MLDGMJPK_00527	CDS	270	fliQ		COG1987	Flagellar biosynthetic protein FliQ
MLDGMJPK_00528	CDS	777	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
MLDGMJPK_00529	CDS	651				hypothetical protein
MLDGMJPK_00530	CDS	2652				hypothetical protein
MLDGMJPK_00531	CDS	1755				hypothetical protein
MLDGMJPK_00532	CDS	762				hypothetical protein
MLDGMJPK_00533	CDS	765	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
MLDGMJPK_00534	CDS	1269	gltA	2.3.3.16	COG0372	Citrate synthase
MLDGMJPK_00535	CDS	1176				hypothetical protein
MLDGMJPK_00536	CDS	837	bioB	2.8.1.6	COG0502	Biotin synthase
MLDGMJPK_00537	CDS	2103	topA	5.6.2.1	COG0550	DNA topoisomerase 1
MLDGMJPK_00538	CDS	549				hypothetical protein
MLDGMJPK_00539	CDS	738				hypothetical protein
MLDGMJPK_00540	CDS	1266	secY		COG0201	Protein translocase subunit SecY
MLDGMJPK_00541	CDS	393	rplO			50S ribosomal protein L15
MLDGMJPK_00542	CDS	444	rpsE		COG0098	30S ribosomal protein S5
MLDGMJPK_00543	CDS	357	rplR		COG0256	50S ribosomal protein L18
MLDGMJPK_00544	CDS	537	rplF		COG0097	50S ribosomal protein L6
MLDGMJPK_00545	CDS	396	rpsH		COG0096	30S ribosomal protein S8
MLDGMJPK_00546	CDS	186	rpsZ		COG0199	30S ribosomal protein S14 type Z
MLDGMJPK_00547	CDS	543	rplE		COG0094	50S ribosomal protein L5
MLDGMJPK_00548	CDS	234	rplX			50S ribosomal protein L24
MLDGMJPK_00549	CDS	369	rplN		COG0093	50S ribosomal protein L14
MLDGMJPK_00550	CDS	252	rpsQ		COG0186	30S ribosomal protein S17
MLDGMJPK_00551	CDS	186				hypothetical protein
MLDGMJPK_00552	CDS	426	rplP		COG0197	50S ribosomal protein L16
MLDGMJPK_00553	CDS	702	rpsC		COG0092	30S ribosomal protein S3
MLDGMJPK_00554	CDS	426				hypothetical protein
MLDGMJPK_00555	CDS	282	rpsS		COG0185	30S ribosomal protein S19
MLDGMJPK_00556	CDS	831	rplB_1			50S ribosomal protein L2
MLDGMJPK_00557	CDS	282	rplW		COG0089	50S ribosomal protein L23
MLDGMJPK_00558	CDS	615	rplD			50S ribosomal protein L4
MLDGMJPK_00559	CDS	576				hypothetical protein
MLDGMJPK_00560	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
MLDGMJPK_00561	CDS	762	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
MLDGMJPK_00562	CDS	1989	rnj	3.1.-.-	COG0595	Ribonuclease J
MLDGMJPK_00563	CDS	801	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
MLDGMJPK_00564	CDS	537				hypothetical protein
MLDGMJPK_00565	CDS	1071	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
MLDGMJPK_00566	CDS	99				hypothetical protein
MLDGMJPK_00567	tRNA	77				tRNA-Met(cat)
MLDGMJPK_00568	tRNA	88				tRNA-Ser(gga)
MLDGMJPK_00569	tRNA	76				tRNA-Ala(ggc)
MLDGMJPK_00570	tRNA	76				tRNA-Val(gac)
MLDGMJPK_00571	CDS	531				hypothetical protein
MLDGMJPK_00572	CDS	603	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
MLDGMJPK_00573	CDS	1407	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
MLDGMJPK_00574	CDS	1077	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
MLDGMJPK_00575	CDS	1536	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
MLDGMJPK_00576	CDS	630				hypothetical protein
MLDGMJPK_00577	CDS	645				hypothetical protein
MLDGMJPK_00578	CDS	225				hypothetical protein
MLDGMJPK_00579	CDS	384	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
MLDGMJPK_00580	CDS	600				hypothetical protein
MLDGMJPK_00581	CDS	882	metAA1	2.3.1.31	COG1897	Homoserine O-acetyltransferase 1
MLDGMJPK_00582	CDS	1272	metY	2.5.1.-		O-acetyl-L-homoserine sulfhydrylase
MLDGMJPK_00583	CDS	2598				hypothetical protein
MLDGMJPK_00584	CDS	555	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
MLDGMJPK_00585	CDS	1323	dnaA		COG0593	Chromosomal replication initiator protein DnaA
MLDGMJPK_00586	CDS	1068	dnaN		COG0592	Beta sliding clamp
MLDGMJPK_00587	CDS	2310	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
MLDGMJPK_00588	CDS	342				hypothetical protein
MLDGMJPK_00589	CDS	1239				hypothetical protein
MLDGMJPK_00590	CDS	1302				hypothetical protein
MLDGMJPK_00591	CDS	4491	gltB_1	1.4.7.1		Ferredoxin-dependent glutamate synthase 1
MLDGMJPK_00592	CDS	1446	gltB_2	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
MLDGMJPK_00593	CDS	576	rnhB	3.1.26.4	COG0164	Ribonuclease HII
MLDGMJPK_00594	CDS	240				hypothetical protein
MLDGMJPK_00595	CDS	648	rbr1	1.11.1.1	COG1592	Rubrerythrin-1
MLDGMJPK_00596	CDS	1677	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
MLDGMJPK_00597	CDS	150	yagU		COG3477	Inner membrane protein YagU
MLDGMJPK_00598	CDS	282				hypothetical protein
MLDGMJPK_00599	CDS	1227				hypothetical protein
MLDGMJPK_00600	CDS	675	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
MLDGMJPK_00601	CDS	1527				hypothetical protein
MLDGMJPK_00602	CDS	168				hypothetical protein
MLDGMJPK_00603	CDS	1779				hypothetical protein
MLDGMJPK_00604	CDS	915	ccp	1.11.1.5	COG1858	Cytochrome c551 peroxidase
MLDGMJPK_00605	CDS	879				hypothetical protein
MLDGMJPK_00606	CDS	846		5.4.99.-	COG0564	putative RNA pseudouridine synthase
MLDGMJPK_00607	CDS	633		2.7.2.4	COG0527	Aspartate kinase
MLDGMJPK_00608	CDS	537				hypothetical protein
MLDGMJPK_00609	CDS	600				hypothetical protein
MLDGMJPK_00610	CDS	1143	folP		COG0294	Bifunctional dihydropteroate synthase/dihydropteroate reductase
MLDGMJPK_00611	CDS	1944	ligA_2	6.5.1.2	COG0272	DNA ligase
MLDGMJPK_00612	CDS	1005				hypothetical protein
MLDGMJPK_00613	CDS	762	tlyA	2.1.1.226	COG1189	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
MLDGMJPK_00614	CDS	855	ribF			Bifunctional riboflavin kinase/FMN adenylyltransferase
MLDGMJPK_00615	CDS	708	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
MLDGMJPK_00616	CDS	114				hypothetical protein
MLDGMJPK_00617	CDS	435				hypothetical protein
MLDGMJPK_00618	CDS	633				hypothetical protein
MLDGMJPK_00619	CDS	651				hypothetical protein
MLDGMJPK_00620	CDS	627	nth_2	4.2.99.18	COG0177	Endonuclease III
MLDGMJPK_00621	CDS	822	cbf2	5.2.1.8	COG0760	Putative peptidyl-prolyl cis-trans isomerase Cbf2
MLDGMJPK_00622	CDS	1065	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
MLDGMJPK_00623	CDS	1443				hypothetical protein
MLDGMJPK_00624	CDS	954	pal_1			Peptidoglycan-associated lipoprotein
MLDGMJPK_00625	CDS	876				hypothetical protein
MLDGMJPK_00626	CDS	1344				hypothetical protein
MLDGMJPK_00627	CDS	669	yiiM		COG2258	Protein YiiM
MLDGMJPK_00628	CDS	1704	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
MLDGMJPK_00629	CDS	624				hypothetical protein
MLDGMJPK_00630	CDS	306	ppk2	2.7.4.1	COG2326	Polyphosphate:NDP phosphotransferase 2
MLDGMJPK_00631	CDS	1191	hipO_2	3.5.1.32	COG1473	Hippurate hydrolase
MLDGMJPK_00632	CDS	1173	macA		COG0845	Macrolide export protein MacA
MLDGMJPK_00633	CDS	1926	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
MLDGMJPK_00634	CDS	1371	tdeA		COG1538	Toxin and drug export protein A
MLDGMJPK_00635	CDS	1179				hypothetical protein
MLDGMJPK_00636	CDS	1011				hypothetical protein
MLDGMJPK_00637	CDS	1377				hypothetical protein
MLDGMJPK_00638	CDS	504	ftn	1.16.3.2	COG1528	Bacterial non-heme ferritin
MLDGMJPK_00639	CDS	996	sphX		COG0226	Protein SphX
MLDGMJPK_00640	CDS	915	pstC1		COG0573	Phosphate transport system permease protein PstC 1
MLDGMJPK_00641	CDS	1089				hypothetical protein
MLDGMJPK_00642	CDS	741	pstB	7.3.2.1		Phosphate import ATP-binding protein PstB
MLDGMJPK_00643	CDS	1263				hypothetical protein
MLDGMJPK_00644	CDS	1317	yeeO		COG0534	putative FMN/FAD exporter YeeO
MLDGMJPK_00645	CDS	648				hypothetical protein
MLDGMJPK_00646	CDS	1521				hypothetical protein
MLDGMJPK_00647	CDS	2190	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
MLDGMJPK_00648	CDS	744	hypB			Hydrogenase maturation factor HypB
MLDGMJPK_00649	CDS	282				hypothetical protein
MLDGMJPK_00650	CDS	1092	hypD		COG0409	Hydrogenase maturation factor HypD
MLDGMJPK_00651	CDS	975	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
MLDGMJPK_00652	CDS	345	hypA		COG0375	Hydrogenase/urease maturation factor HypA
MLDGMJPK_00653	CDS	1044				hypothetical protein
MLDGMJPK_00654	CDS	966			COG1466	Protein
MLDGMJPK_00655	CDS	1935	rnr	3.1.13.1	COG0557	Ribonuclease R
MLDGMJPK_00656	CDS	1023	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
MLDGMJPK_00657	CDS	1083				hypothetical protein
MLDGMJPK_00658	CDS	774				hypothetical protein
MLDGMJPK_00659	CDS	384	yqgF	3.1.-.-		Putative pre-16S rRNA nuclease
MLDGMJPK_00660	CDS	879	rsmF	2.1.1.-	COG0144	Ribosomal RNA small subunit methyltransferase F
MLDGMJPK_00661	CDS	498	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
MLDGMJPK_00662	CDS	519	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
MLDGMJPK_00663	CDS	579	adk	2.7.4.3	COG0563	Adenylate kinase
MLDGMJPK_00664	CDS	1752	aspS	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
MLDGMJPK_00665	CDS	861	nadK	2.7.1.23		NAD kinase
MLDGMJPK_00666	CDS	1524	recN		COG0497	DNA repair protein RecN
MLDGMJPK_00667	CDS	1245	pleD			Response regulator PleD
MLDGMJPK_00668	CDS	816	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
MLDGMJPK_00669	CDS	1119				hypothetical protein
MLDGMJPK_00670	CDS	828	rlpA	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
MLDGMJPK_00671	CDS	489	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
MLDGMJPK_00672	CDS	516				hypothetical protein
MLDGMJPK_00673	CDS	462	lptA			Lipopolysaccharide export system protein LptA
MLDGMJPK_00674	CDS	597	engB		COG0218	putative GTP-binding protein EngB
MLDGMJPK_00675	CDS	495				hypothetical protein
MLDGMJPK_00676	CDS	1806	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
MLDGMJPK_00677	CDS	1791				hypothetical protein
MLDGMJPK_00678	CDS	1554	dtpT_1		COG3104	Di-/tripeptide transporter
MLDGMJPK_00679	CDS	681	dtpB			Dipeptide and tripeptide permease B
MLDGMJPK_00680	CDS	642	dtpT_2		COG3104	Di-/tripeptide transporter
MLDGMJPK_00681	CDS	549				hypothetical protein
MLDGMJPK_00682	CDS	1107				hypothetical protein
MLDGMJPK_00683	CDS	876	era			GTPase Era
MLDGMJPK_00684	CDS	1320	clpY		COG1220	ATP-dependent protease ATPase subunit ClpY
MLDGMJPK_00685	CDS	543	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
MLDGMJPK_00686	CDS	444	rplI			50S ribosomal protein L9
MLDGMJPK_00687	CDS	1221	argG	6.3.4.5	COG0137	Argininosuccinate synthase
MLDGMJPK_00688	CDS	285			COG1188	putative protein
MLDGMJPK_00689	CDS	408				hypothetical protein
MLDGMJPK_00690	CDS	738	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
MLDGMJPK_00691	CDS	1251	rpoN		COG1508	RNA polymerase sigma-54 factor
MLDGMJPK_00692	CDS	1425	dcuB		COG2704	Anaerobic C4-dicarboxylate transporter DcuB
MLDGMJPK_00693	CDS	261	kdpA_1		COG2060	Potassium-transporting ATPase potassium-binding subunit
MLDGMJPK_00694	CDS	222	kdpA_2		COG2060	Potassium-transporting ATPase potassium-binding subunit
MLDGMJPK_00695	CDS	321	kdpA_3			Potassium-transporting ATPase potassium-binding subunit
MLDGMJPK_00696	CDS	870	kdpA_4		COG2060	Potassium-transporting ATPase potassium-binding subunit
